HourUTC,HourDK,PriceArea,ConsumerType_DE35,TotalCon,EventTimestamp,DMY,Hour,Minute,DayOfWeek,Quarter,Month,Day,Year,Season,Dayofyear,DayOfMonth,WeekOfYear,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsWorkingDay,IsBusinessHours,IsPeakHour,MinuteOfDay,MinuteOfWeek
2022-10-30 01:00,2022-10-30 02:00,DK1,441,51846,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,442,13409,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,443,17460,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,444,9491,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,445,13122,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,446,24433,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,447,13965,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,450,12077,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,461,2186,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,462,1513,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK1,999,579288,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,111,31285,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,112,1067,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,119,24251,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,121,85689,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,122,26819,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,123,3951,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,130,12808,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,211,16300,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,212,2451,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,215,151,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,220,727,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,310,19323,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,320,1597,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,330,685,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,340,3169,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,350,21767,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,360,9421,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,370,525,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,381,431,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,382,25502,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
2022-10-30 01:00,2022-10-30 02:00,DK2,390,1443,2022-10-30 02:00:00,30-10-2022,2,0,6,4,10,30,2022,4,303,30,43,True,False,False,False,False,False,False,False,120,8760
